,scpdsi,pdsi,phdi,pmdi,zindex
2006-04-30,1.6222684905178688,0.8448252953404651,1.6222684905178688,1.6222684905178688,1.110619741772651
2006-05-31,-0.04261411840287565,-0.04098569724351088,1.4125607175916528,1.2714664074412392,-0.12784235520862694
2006-06-30,-0.7894833940207295,-0.7593147196007582,-0.7894833940207295,-0.7894833940207295,-2.25377558944005
2006-07-31,-2.412403503019261,-2.320217883405993,-2.412403503019261,-2.412403503019261,-5.112710695748
2006-08-31,0.8569399546013295,0.6866477665577614,-1.3069859876069478,-0.1275158886057765,2.5708198638039885
2006-09-30,0.16286327801754208,0.03326118563445679,-1.778178292143283,-1.346625407984,-1.8174355837795517
2006-10-31,1.0406842869167723,0.7466559797934981,-0.7004300015174878,0.8595723021789261,2.683787779605111
2006-11-30,1.3881488084715339,1.0340558016228525,1.3881488084715339,1.3881488084715339,1.3639650093215672
2006-12-31,1.0304848858323647,0.721067240693445,1.0304848858323647,0.5882000249927817,-0.6440537860998033
2007-01-31,1.5273055789850036,1.1299368535344194,1.5273055789850036,1.5273055789850036,1.8088819091801172
2007-02-28,2.027355038564086,1.540283499592216,2.027355038564086,2.027355038564086,1.9720858026436128
2007-03-31,-0.3098007069308208,-0.29796223542748285,1.5087367626611645,1.012496737459715,-0.9294021207924623
2007-04-30,-1.2297650354374001,-1.1827717975198444,-1.2297650354374001,-1.2297650354374001,-2.8556214039613614
2007-05-31,-1.4234231112005962,-1.3690295815470186,-1.4234231112005962,-1.4234231112005962,-0.9609716232397443
2007-06-30,-1.7181672253945266,-1.6525105845904615,-1.7181672253945266,-1.7181672253945266,-1.3240700839427755
2007-07-31,-1.4684577295465449,-1.4240183637785109,-1.4684577295465449,-1.2867784556949362,0.21821481489703665
2007-08-31,-1.717712541888478,-1.6625458227986016,-1.717712541888478,-1.717712541888478,-1.2015178754556817
2007-09-30,1.081508446286118,0.8665897244821562,1.081508446286118,1.081508446286118,3.244525338858354
2007-10-31,-0.6019875573764527,0.1983472869470062,-0.6019875573764527,-0.6019875573764527,-1.805962672129358
2007-11-30,0.8863024337495192,0.8880928132265171,0.8863024337495192,0.8863024337495192,2.658907301248558
2007-12-31,0.2931488143503671,0.3139326241670209,0.2931488143503671,-0.5018644687229517,-1.505593406168855
2008-01-31,1.2456205069575408,1.0689869540157968,1.2456205069575408,1.2456205069575408,2.9479980614557846
2008-02-29,0.7536577366749566,0.6091141937096599,0.7536577366749566,0.004946585925540342,-1.0909915741978722
2008-03-31,0.8610474528425153,0.6946251900331293,0.8610474528425153,0.3874620699039387,0.5550493891352373
2008-04-30,1.4517582352615976,1.1674665053516216,1.4517582352615976,1.4517582352615976,2.0381960101855845
2008-05-31,-0.5500772584627284,-0.5290570548180692,0.7521498785669248,-0.22193446016274018,-1.6502317753881852
2008-06-30,-0.9555298325397571,-0.9190159949659871,-0.9555298325397571,-0.9555298325397571,-1.3863315950960693
2008-07-31,-1.0361679774208254,-0.9965726995568958,-1.0361679774208254,-1.0361679774208254,-0.53717315289799
2008-08-31,-0.9526420029986287,-0.9162385185872767,-0.9526420029986287,-0.893189489286888,-0.06959798175644483
2008-09-30,-1.3106145973848644,-1.2605318402578316,-1.3106145973848644,-1.3106145973848644,-1.3682841620852837
2008-10-31,0.705819585269869,-0.5651388331879098,0.705819585269869,0.705819585269869,2.117458755809607
2008-11-30,-0.3747069107809893,-0.867317699918708,-0.3747069107809893,-0.3747069107809893,-1.1241207323429678
2008-12-31,-0.4317300411844104,-0.8699480529948624,-0.4317300411844104,-0.4317300411844104,-0.28685382664158904
2009-01-31,-0.7669254301533455,-1.1454988322785147,-0.7669254301533455,-0.7669254301533455,-1.1389907496327882
2009-02-28,0.8652998168311585,0.6933463464267712,0.8652998168311585,0.8652998168311585,2.5958994504934756
2009-03-31,1.3780785881507054,1.1042250738967785,1.3780785881507054,1.3780785881507054,1.805713957359469
2009-04-30,-0.8981654963560702,-0.8638437327318605,-0.8981654963560702,-0.8981654963560702,-2.694496489068211
2009-05-31,0.24377088408596148,0.19532842670092102,0.24377088408596148,-0.5618835661454336,0.7313126522578844
2009-06-30,0.921164563891473,0.738109580527724,0.921164563891473,0.921164563891473,2.1075062425990967
2009-07-31,-0.07497708900807235,-0.0721119756891944,-0.07497708900807235,0.751307524802579,-0.22493126702421704
2009-08-31,-0.6040925460350466,-0.5810082462525683,-0.6040925460350466,-0.6040925460350466,-1.610514291584417
2009-09-30,-1.116860477089527,-1.0741816818659213,-1.116860477089527,-1.116860477089527,-1.7249683898882702
2009-10-31,1.0073978062389635,0.8072064442496232,1.0073978062389635,1.0073978062389635,3.0221934187168906
2009-11-30,0.5582795789362109,0.3919050893790906,0.5582795789362109,-0.326820425651507,-1.0360687597804177
2009-12-31,0.9925873714266521,0.7456162340435503,0.9925873714266521,0.9925873714266521,1.4754317673626125
2010-01-31,-0.2947069119690979,-0.2834452224340835,0.5956439602006092,-0.1905976536805099,-0.8841207359072937
2010-02-28,-0.6013950875321445,-0.5784138662285194,-0.6013950875321445,-0.6013950875321445,-1.0111289624875914
2010-03-31,-0.43597897753013726,-0.43592699096369725,-0.43597897753013726,-0.43597897753013726,0.31041724795858916
2010-04-30,-0.5610566450841836,-0.5545144022388186,-0.5610566450841836,-0.5610566450841836,-0.5099505067189515
2010-05-31,1.2793383627227006,1.025106630538525,1.2793383627227006,1.2793383627227006,3.8380150881681017
2010-06-30,-0.6894342094560684,-0.6630887329627093,-0.6894342094560684,-0.6894342094560684,-2.068302628368205
2010-07-31,0.8219804853886367,0.6586354871371944,0.8219804853886367,0.8219804853886367,2.46594145616591
2010-08-31,4.717273562337747,3.7798510133981362,4.717273562337747,4.717273562337747,11.93987120083242
2010-09-30,6.058292941550112,4.85438133107393,6.058292941550112,6.058292941550112,5.480695668399461
2010-10-31,4.647784580479276,3.597930695356924,4.647784580479276,3.7265159787790516,-2.359512564273527
